                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.08602,                0.16695,                0.78454,                0.99867,                0.99869,                0.99499,                0.99491,                0.16067,                0.11278,                0.67057,              0.0001684,              0.0001684,              0.0001684
                     86,                0.08397,                0.16512,                0.78481,                 0.9987,                0.99863,                0.99499,                0.99491,                0.15855,                0.10802,                0.67044,              0.0001585,              0.0001585,              0.0001585
                     87,                0.08454,                0.16468,                0.78389,                0.99876,                0.99865,                0.99498,                 0.9949,                0.15872,                0.10797,                0.67035,              0.0001486,              0.0001486,              0.0001486
                     88,                0.08387,                0.16772,                0.78495,                0.99883,                0.99861,                0.99492,                0.99486,                0.15841,                0.10501,                0.67033,              0.0001387,              0.0001387,              0.0001387
                     89,                0.08177,                0.16131,                0.78348,                0.99882,                0.99862,                0.99494,                0.99488,                0.15825,                0.10557,                0.67016,              0.0001288,              0.0001288,              0.0001288
                     90,                  0.054,                0.05278,                0.89849,                  0.999,                 0.9986,                0.99499,                0.99498,                0.14737,                0.09448,                0.67029,              0.0001189,              0.0001189,              0.0001189
                     91,                0.03034,                0.03544,                0.89768,                0.99907,                 0.9986,                  0.995,                  0.995,                0.14197,                0.09482,                0.67089,               0.000109,               0.000109,               0.000109
                     92,                 0.0293,                0.03495,                0.89767,                0.99908,                 0.9986,                  0.995,                0.99498,                0.14087,                0.09724,                0.67164,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                0.02904,                0.03369,                0.89752,                0.99906,                0.99856,                  0.995,                0.99499,                0.14095,                0.10122,                0.67246,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.02884,                0.03374,                0.89758,                0.99906,                0.99858,                  0.995,                0.99499,                0.14225,                0.10572,                0.67343,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.02883,                0.03395,                0.89762,                0.99907,                0.99867,                0.99499,                0.99498,                0.14467,                0.11004,                0.67437,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.02877,                0.03384,                 0.8975,                0.99905,                 0.9985,                0.99499,                0.99499,                0.14846,                0.11454,                0.67528,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.02872,                  0.034,                0.89749,                0.99904,                0.99859,                0.99498,                0.99494,                0.15303,                0.11905,                0.67618,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.02869,                0.03388,                0.89745,                0.99897,                0.99861,                0.99496,                0.99489,                0.15799,                0.12349,                0.67702,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.02868,                0.03386,                0.89753,                0.99893,                0.99858,                0.99496,                0.99482,                0.16344,                0.12799,                0.67793,               2.98e-05,               2.98e-05,               2.98e-05
